"Timestamp","Temperature_Celsius(°C)","Relative_Humidity(%)","Absolute_Humidity(g/m³)","DPT_Celsius(°C)","VPD(kPa)"
"Apr 13, 2024 18:11:49","14.3","62","7.6","7.1","0.62"
"Apr 13, 2024 18:12:49","14.2","62","7.6","7.0","0.62"
"Apr 13, 2024 18:13:49","14.2","62","7.6","7.0","0.62"
"Apr 13, 2024 18:14:49","14.1","62","7.5","6.9","0.61"
"Apr 13, 2024 18:15:49","14.0","62","7.5","6.8","0.61"
"Apr 13, 2024 18:16:49","14.0","62","7.5","6.8","0.61"
"Apr 13, 2024 18:17:49","14.0","62","7.5","6.8","0.61"
"Apr 13, 2024 18:18:49","14.0","62","7.5","6.8","0.61"
"Apr 13, 2024 18:19:49","14.0","61","7.4","6.6","0.62"
"Apr 13, 2024 18:20:49","14.0","61","7.4","6.6","0.62"
"Apr 13, 2024 18:21:49","14.0","61","7.4","6.6","0.62"
"Apr 13, 2024 18:22:49","14.0","61","7.4","6.6","0.62"
"Apr 13, 2024 18:23:49","13.9","61","7.3","6.5","0.62"
"Apr 13, 2024 18:24:49","13.9","62","7.4","6.7","0.60"
"Apr 13, 2024 18:25:49","13.9","62","7.4","6.7","0.60"
"Apr 13, 2024 18:26:49","13.9","62","7.4","6.7","0.60"
"Apr 13, 2024 18:27:49","13.9","62","7.4","6.7","0.60"
"Apr 13, 2024 18:28:49","13.9","62","7.4","6.7","0.60"
"Apr 13, 2024 18:29:49","13.9","62","7.4","6.7","0.60"
"Apr 13, 2024 18:30:49","13.9","62","7.4","6.7","0.60"
"Apr 13, 2024 18:31:49","13.9","62","7.4","6.7","0.60"
"Apr 13, 2024 18:32:49","13.9","62","7.4","6.7","0.60"
"Apr 13, 2024 18:33:49","13.9","62","7.4","6.7","0.60"
"Apr 13, 2024 18:34:49","13.9","62","7.4","6.7","0.60"
"Apr 13, 2024 18:35:49","13.9","60","7.2","6.3","0.64"
"Apr 13, 2024 18:36:49","13.9","60","7.2","6.3","0.64"
"Apr 13, 2024 18:37:49","13.8","60","7.2","6.2","0.63"
"Apr 13, 2024 18:38:49","13.8","60","7.2","6.2","0.63"
"Apr 13, 2024 18:39:49","13.8","60","7.2","6.2","0.63"
"Apr 13, 2024 18:40:49","13.7","60","7.1","6.1","0.63"
"Apr 13, 2024 18:41:49","13.7","60","7.1","6.1","0.63"
"Apr 13, 2024 18:42:49","13.7","60","7.1","6.1","0.63"
"Apr 13, 2024 18:43:49","13.7","60","7.1","6.1","0.63"
"Apr 13, 2024 18:44:49","13.7","60","7.1","6.1","0.63"
"Apr 13, 2024 18:45:49","13.7","60","7.1","6.1","0.63"
"Apr 13, 2024 18:46:49","13.6","60","7.1","6.0","0.62"
"Apr 13, 2024 18:47:49","13.6","60","7.1","6.0","0.62"
"Apr 13, 2024 18:48:49","13.6","60","7.1","6.0","0.62"
"Apr 13, 2024 18:49:49","13.6","60","7.1","6.0","0.62"
"Apr 13, 2024 18:50:49","13.6","61","7.2","6.2","0.61"
"Apr 13, 2024 18:51:49","13.6","61","7.2","6.2","0.61"
"Apr 13, 2024 18:52:49","13.6","61","7.2","6.2","0.61"
"Apr 13, 2024 18:53:49","13.6","61","7.2","6.2","0.61"
"Apr 13, 2024 18:54:49","13.6","61","7.2","6.2","0.61"
"Apr 13, 2024 18:55:49","13.6","61","7.2","6.2","0.61"
"Apr 13, 2024 18:56:49","13.6","61","7.2","6.2","0.61"
"Apr 13, 2024 18:57:49","13.5","61","7.1","6.1","0.60"
"Apr 13, 2024 18:58:49","13.5","61","7.1","6.1","0.60"
"Apr 13, 2024 18:59:49","13.4","61","7.1","6.0","0.60"
"Apr 13, 2024 19:00:49","13.4","61","7.1","6.0","0.60"
"Apr 13, 2024 19:01:49","13.4","61","7.1","6.0","0.60"
"Apr 13, 2024 19:02:49","13.4","60","7.0","5.8","0.61"
"Apr 13, 2024 19:03:49","13.4","60","7.0","5.8","0.61"
"Apr 13, 2024 19:04:49","13.4","60","7.0","5.8","0.61"
"Apr 13, 2024 19:05:49","13.4","60","7.0","5.8","0.61"
"Apr 13, 2024 19:06:49","13.4","60","7.0","5.8","0.61"
"Apr 13, 2024 19:07:49","13.4","60","7.0","5.8","0.61"
"Apr 13, 2024 19:08:49","13.3","60","6.9","5.7","0.61"
"Apr 13, 2024 19:09:49","13.3","60","6.9","5.7","0.61"
"Apr 13, 2024 19:10:49","13.3","60","6.9","5.7","0.61"
"Apr 13, 2024 19:11:49","13.2","60","6.9","5.6","0.61"
"Apr 13, 2024 19:12:49","13.2","60","6.9","5.6","0.61"
"Apr 13, 2024 19:13:49","13.2","60","6.9","5.6","0.61"
"Apr 13, 2024 19:14:49","13.2","60","6.9","5.6","0.61"
"Apr 13, 2024 19:15:49","13.2","60","6.9","5.6","0.61"
"Apr 13, 2024 19:16:49","13.2","60","6.9","5.6","0.61"
"Apr 13, 2024 19:17:49","13.2","60","6.9","5.6","0.61"
"Apr 13, 2024 19:18:49","13.2","61","7.0","5.8","0.59"
"Apr 13, 2024 19:19:49","13.2","61","7.0","5.8","0.59"
"Apr 13, 2024 19:20:49","13.1","61","7.0","5.7","0.59"
"Apr 13, 2024 19:21:49","13.1","61","7.0","5.7","0.59"
"Apr 13, 2024 19:22:49","13.0","61","6.9","5.6","0.58"
"Apr 13, 2024 19:23:49","13.0","61","6.9","5.6","0.58"
"Apr 13, 2024 19:24:49","13.0","61","6.9","5.6","0.58"
"Apr 13, 2024 19:25:49","13.0","61","6.9","5.6","0.58"
"Apr 13, 2024 19:26:49","13.0","62","7.0","5.9","0.57"
"Apr 13, 2024 19:27:49","13.0","62","7.0","5.9","0.57"
"Apr 13, 2024 19:28:49","12.9","62","7.0","5.8","0.57"
"Apr 13, 2024 19:29:49","12.9","62","7.0","5.8","0.57"
"Apr 13, 2024 19:30:49","12.8","62","6.9","5.7","0.56"
"Apr 13, 2024 19:31:49","12.8","62","6.9","5.7","0.56"
"Apr 13, 2024 19:32:49","12.7","62","6.9","5.6","0.56"
"Apr 13, 2024 19:33:49","12.7","62","6.9","5.6","0.56"
"Apr 13, 2024 19:34:49","12.7","63","7.0","5.8","0.54"
"Apr 13, 2024 19:35:49","12.7","63","7.0","5.8","0.54"
"Apr 13, 2024 19:36:49","12.7","63","7.0","5.8","0.54"
"Apr 13, 2024 19:37:49","12.7","63","7.0","5.8","0.54"
"Apr 13, 2024 19:38:49","12.7","63","7.0","5.8","0.54"
"Apr 13, 2024 19:39:49","12.7","63","7.0","5.8","0.54"
"Apr 13, 2024 19:40:49","12.7","63","7.0","5.8","0.54"
"Apr 13, 2024 19:41:49","12.7","63","7.0","5.8","0.54"
"Apr 13, 2024 19:42:49","12.7","63","7.0","5.8","0.54"
"Apr 13, 2024 19:43:49","12.7","64","7.1","6.1","0.53"
"Apr 13, 2024 19:44:49","12.7","64","7.1","6.1","0.53"
"Apr 13, 2024 19:45:49","12.6","64","7.1","6.0","0.53"
"Apr 13, 2024 19:46:49","12.6","64","7.1","6.0","0.53"
"Apr 13, 2024 19:47:49","12.6","64","7.1","6.0","0.53"
"Apr 13, 2024 19:48:49","12.6","65","7.2","6.2","0.51"
"Apr 13, 2024 19:49:49","12.6","65","7.2","6.2","0.51"
"Apr 13, 2024 19:50:49","12.6","65","7.2","6.2","0.51"
"Apr 13, 2024 19:51:49","12.6","65","7.2","6.2","0.51"
"Apr 13, 2024 19:52:49","12.5","65","7.2","6.1","0.51"
"Apr 13, 2024 19:53:49","12.5","66","7.3","6.3","0.49"
"Apr 13, 2024 19:54:49","12.4","66","7.2","6.2","0.49"
"Apr 13, 2024 19:55:49","12.4","66","7.2","6.2","0.49"
"Apr 13, 2024 19:56:49","12.4","66","7.2","6.2","0.49"
"Apr 13, 2024 19:57:49","12.3","66","7.2","6.1","0.49"
"Apr 13, 2024 19:58:49","12.3","66","7.2","6.1","0.49"
"Apr 13, 2024 19:59:49","12.3","66","7.2","6.1","0.49"
"Apr 13, 2024 20:00:49","12.3","67","7.3","6.3","0.47"
"Apr 13, 2024 20:01:49","12.3","67","7.3","6.3","0.47"
"Apr 13, 2024 20:02:49","12.3","67","7.3","6.3","0.47"
"Apr 13, 2024 20:03:49","12.3","67","7.3","6.3","0.47"
"Apr 13, 2024 20:04:49","12.3","67","7.3","6.3","0.47"
"Apr 13, 2024 20:05:49","12.3","67","7.3","6.3","0.47"
"Apr 13, 2024 20:06:49","12.3","68","7.4","6.6","0.46"
"Apr 13, 2024 20:07:49","12.2","68","7.3","6.5","0.45"
"Apr 13, 2024 20:08:49","12.2","68","7.3","6.5","0.45"
"Apr 13, 2024 20:09:49","11.9","80","8.5","8.6","0.28"
"Apr 13, 2024 20:10:49","11.7","80","8.4","8.4","0.28"
"Apr 13, 2024 20:11:49","11.5","83","8.6","8.7","0.23"
"Apr 13, 2024 20:12:49","11.3","83","8.5","8.5","0.23"
"Apr 13, 2024 20:13:49","11.1","83","8.4","8.3","0.22"
"Apr 13, 2024 20:14:49","11.1","85","8.6","8.7","0.20"
"Apr 13, 2024 20:15:49","11.1","85","8.6","8.7","0.20"
"Apr 13, 2024 20:16:49","11.0","85","8.5","8.6","0.20"
"Apr 13, 2024 20:17:49","10.9","85","8.4","8.5","0.20"
"Apr 13, 2024 20:18:49","10.9","85","8.4","8.5","0.20"
"Apr 13, 2024 20:19:49","10.8","85","8.4","8.4","0.19"
"Apr 13, 2024 20:20:49","10.7","85","8.3","8.3","0.19"
"Apr 13, 2024 20:21:49","10.6","85","8.3","8.2","0.19"
"Apr 13, 2024 20:22:49","10.6","85","8.3","8.2","0.19"
"Apr 13, 2024 20:23:49","10.5","85","8.2","8.1","0.19"
"Apr 13, 2024 20:24:49","10.4","85","8.2","8.0","0.19"
"Apr 13, 2024 20:25:49","10.4","85","8.2","8.0","0.19"
"Apr 13, 2024 20:26:49","10.4","85","8.2","8.0","0.19"
"Apr 13, 2024 20:27:49","10.4","85","8.2","8.0","0.19"
"Apr 13, 2024 20:28:49","10.4","85","8.2","8.0","0.19"
"Apr 13, 2024 20:29:49","10.4","85","8.2","8.0","0.19"
"Apr 13, 2024 20:30:49","10.4","85","8.2","8.0","0.19"
"Apr 13, 2024 20:31:49","10.4","85","8.2","8.0","0.19"
"Apr 13, 2024 20:32:49","10.3","85","8.1","7.9","0.19"
"Apr 13, 2024 20:33:49","10.2","85","8.1","7.8","0.19"
"Apr 13, 2024 20:34:49","10.2","85","8.1","7.8","0.19"
"Apr 13, 2024 20:35:49","10.2","85","8.1","7.8","0.19"
"Apr 13, 2024 20:36:49","10.1","85","8.0","7.7","0.19"
"Apr 13, 2024 20:37:49","10.1","85","8.0","7.7","0.19"
"Apr 13, 2024 20:38:49","10.1","85","8.0","7.7","0.19"
"Apr 13, 2024 20:39:49","10.0","85","8.0","7.6","0.18"
"Apr 13, 2024 20:40:49","10.0","85","8.0","7.6","0.18"
"Apr 13, 2024 20:41:49","9.9","85","7.9","7.5","0.18"
"Apr 13, 2024 20:42:49","9.9","85","7.9","7.5","0.18"
"Apr 13, 2024 20:43:49","9.9","85","7.9","7.5","0.18"
"Apr 13, 2024 20:44:49","9.9","85","7.9","7.5","0.18"
"Apr 13, 2024 20:45:49","9.9","85","7.9","7.5","0.18"
"Apr 13, 2024 20:46:49","9.8","85","7.9","7.4","0.18"
"Apr 13, 2024 20:47:49","9.8","85","7.9","7.4","0.18"
"Apr 13, 2024 20:48:49","9.8","84","7.8","7.2","0.19"
"Apr 13, 2024 20:49:49","9.7","84","7.7","7.1","0.19"
"Apr 13, 2024 20:50:49","9.7","84","7.7","7.1","0.19"
"Apr 13, 2024 20:51:49","9.6","84","7.7","7.0","0.19"
"Apr 13, 2024 20:52:49","9.6","84","7.7","7.0","0.19"
"Apr 13, 2024 20:53:49","9.6","84","7.7","7.0","0.19"
"Apr 13, 2024 20:54:49","9.6","83","7.6","6.9","0.20"
"Apr 13, 2024 20:55:49","9.6","83","7.6","6.9","0.20"
"Apr 13, 2024 20:56:49","9.6","81","7.4","6.5","0.23"
"Apr 13, 2024 20:57:49","9.6","81","7.4","6.5","0.23"
"Apr 13, 2024 20:58:49","9.5","81","7.4","6.4","0.23"
"Apr 13, 2024 20:59:49","9.5","81","7.4","6.4","0.23"
"Apr 13, 2024 21:00:49","9.4","80","7.2","6.1","0.24"
"Apr 13, 2024 21:01:49","9.4","80","7.2","6.1","0.24"
"Apr 13, 2024 21:02:49","9.5","80","7.3","6.2","0.24"
"Apr 13, 2024 21:03:49","9.5","80","7.3","6.2","0.24"
"Apr 13, 2024 21:04:49","9.5","78","7.1","5.9","0.26"
"Apr 13, 2024 21:05:49","9.5","78","7.1","5.9","0.26"
"Apr 13, 2024 21:06:49","9.4","78","7.0","5.8","0.26"
"Apr 13, 2024 21:07:49","9.4","78","7.0","5.8","0.26"
"Apr 13, 2024 21:08:49","9.4","78","7.0","5.8","0.26"
"Apr 13, 2024 21:09:49","9.4","78","7.0","5.8","0.26"
"Apr 13, 2024 21:10:49","9.4","78","7.0","5.8","0.26"
"Apr 13, 2024 21:11:49","9.4","78","7.0","5.8","0.26"
"Apr 13, 2024 21:12:49","9.3","78","7.0","5.7","0.26"
"Apr 13, 2024 21:13:49","9.3","78","7.0","5.7","0.26"
"Apr 13, 2024 21:14:49","9.3","78","7.0","5.7","0.26"
"Apr 13, 2024 21:15:49","9.3","78","7.0","5.7","0.26"
"Apr 13, 2024 21:16:49","9.3","78","7.0","5.7","0.26"
"Apr 13, 2024 21:17:49","9.3","78","7.0","5.7","0.26"
"Apr 13, 2024 21:18:49","9.3","78","7.0","5.7","0.26"
"Apr 13, 2024 21:19:49","9.2","78","7.0","5.6","0.26"
"Apr 13, 2024 21:20:49","9.2","78","7.0","5.6","0.26"
"Apr 13, 2024 21:21:49","9.1","78","6.9","5.5","0.25"
"Apr 13, 2024 21:22:49","9.1","78","6.9","5.5","0.25"
"Apr 13, 2024 21:23:49","9.1","78","6.9","5.5","0.25"
"Apr 13, 2024 21:24:49","9.0","78","6.9","5.4","0.25"
"Apr 13, 2024 21:25:49","8.9","78","6.8","5.3","0.25"
"Apr 13, 2024 21:26:49","8.9","79","6.9","5.5","0.24"
"Apr 13, 2024 21:27:49","8.9","79","6.9","5.5","0.24"
"Apr 13, 2024 21:28:49","8.9","79","6.9","5.5","0.24"
"Apr 13, 2024 21:29:49","8.9","79","6.9","5.5","0.24"
"Apr 13, 2024 21:30:49","8.9","79","6.9","5.5","0.24"
"Apr 13, 2024 21:31:49","8.9","79","6.9","5.5","0.24"
"Apr 13, 2024 21:32:49","8.8","79","6.9","5.4","0.24"
"Apr 13, 2024 21:33:49","8.7","79","6.8","5.3","0.24"
"Apr 13, 2024 21:34:49","8.7","79","6.8","5.3","0.24"
"Apr 13, 2024 21:35:49","8.7","80","6.9","5.4","0.22"
"Apr 13, 2024 21:36:49","8.7","80","6.9","5.4","0.22"
"Apr 13, 2024 21:37:49","8.7","80","6.9","5.4","0.22"
"Apr 13, 2024 21:38:49","8.6","80","6.9","5.3","0.22"
"Apr 13, 2024 21:39:49","8.5","80","6.8","5.2","0.22"
"Apr 13, 2024 21:40:49","8.4","82","7.0","5.5","0.20"
"Apr 13, 2024 21:41:49","8.4","82","7.0","5.5","0.20"
"Apr 13, 2024 21:42:49","8.3","82","6.9","5.4","0.20"
"Apr 13, 2024 21:43:49","8.2","82","6.9","5.3","0.20"
"Apr 13, 2024 21:44:49","8.4","82","7.0","5.5","0.20"
"Apr 13, 2024 21:45:49","8.3","82","6.9","5.4","0.20"
"Apr 13, 2024 21:46:49","8.3","82","6.9","5.4","0.20"
"Apr 13, 2024 21:47:49","8.3","82","6.9","5.4","0.20"
"Apr 13, 2024 21:48:49","8.3","82","6.9","5.4","0.20"
"Apr 13, 2024 21:49:49","8.2","82","6.9","5.3","0.20"
"Apr 13, 2024 21:50:49","8.2","82","6.9","5.3","0.20"
"Apr 13, 2024 21:51:49","8.2","81","6.8","5.1","0.21"
"Apr 13, 2024 21:52:49","8.2","81","6.8","5.1","0.21"
"Apr 13, 2024 21:53:49","8.2","81","6.8","5.1","0.21"
"Apr 13, 2024 21:54:49","8.2","81","6.8","5.1","0.21"
"Apr 13, 2024 21:55:49","8.3","81","6.8","5.2","0.21"
"Apr 13, 2024 21:56:49","8.3","81","6.8","5.2","0.21"
"Apr 13, 2024 21:57:49","8.2","81","6.8","5.1","0.21"
"Apr 13, 2024 21:58:49","8.2","81","6.8","5.1","0.21"
"Apr 13, 2024 21:59:49","8.2","81","6.8","5.1","0.21"
"Apr 13, 2024 22:00:49","8.1","81","6.7","5.0","0.21"
"Apr 13, 2024 22:01:49","8.1","81","6.7","5.0","0.21"
"Apr 13, 2024 22:02:49","8.0","82","6.8","5.1","0.19"
"Apr 13, 2024 22:03:49","8.0","82","6.8","5.1","0.19"
"Apr 13, 2024 22:04:49","7.8","82","6.7","4.9","0.19"
"Apr 13, 2024 22:05:49","7.8","82","6.7","4.9","0.19"
"Apr 13, 2024 22:06:49","7.8","82","6.7","4.9","0.19"
"Apr 13, 2024 22:07:49","7.8","83","6.8","5.1","0.18"
"Apr 13, 2024 22:08:49","7.8","83","6.8","5.1","0.18"
"Apr 13, 2024 22:09:49","7.8","83","6.8","5.1","0.18"
"Apr 13, 2024 22:10:49","7.8","83","6.8","5.1","0.18"
"Apr 13, 2024 22:11:49","7.8","83","6.8","5.1","0.18"
"Apr 13, 2024 22:12:49","7.7","83","6.7","5.0","0.18"
"Apr 13, 2024 22:13:49","7.7","83","6.7","5.0","0.18"
"Apr 13, 2024 22:14:49","7.7","83","6.7","5.0","0.18"
"Apr 13, 2024 22:15:49","7.7","83","6.7","5.0","0.18"
"Apr 13, 2024 22:16:49","7.7","83","6.7","5.0","0.18"
"Apr 13, 2024 22:17:49","7.6","83","6.7","4.9","0.18"
"Apr 13, 2024 22:18:49","7.6","83","6.7","4.9","0.18"
"Apr 13, 2024 22:19:49","7.6","83","6.7","4.9","0.18"
"Apr 13, 2024 22:20:49","7.5","83","6.6","4.8","0.18"
"Apr 13, 2024 22:21:49","7.5","83","6.6","4.8","0.18"
"Apr 13, 2024 22:22:49","7.4","83","6.6","4.7","0.18"
"Apr 13, 2024 22:23:49","7.4","83","6.6","4.7","0.18"
"Apr 13, 2024 22:24:49","7.4","83","6.6","4.7","0.18"
"Apr 13, 2024 22:25:49","7.4","83","6.6","4.7","0.18"
"Apr 13, 2024 22:26:49","7.3","83","6.6","4.6","0.17"
"Apr 13, 2024 22:27:49","7.2","84","6.6","4.7","0.16"
"Apr 13, 2024 22:28:49","7.2","84","6.6","4.7","0.16"
"Apr 13, 2024 22:29:49","7.1","84","6.5","4.6","0.16"
"Apr 13, 2024 22:30:49","7.1","84","6.5","4.6","0.16"
"Apr 13, 2024 22:31:49","7.1","84","6.5","4.6","0.16"
"Apr 13, 2024 22:32:49","7.1","85","6.6","4.7","0.15"
"Apr 13, 2024 22:33:49","7.0","85","6.6","4.6","0.15"
"Apr 13, 2024 22:34:49","7.0","85","6.6","4.6","0.15"
"Apr 13, 2024 22:35:49","7.0","85","6.6","4.6","0.15"
"Apr 13, 2024 22:36:49","6.9","85","6.5","4.6","0.15"
"Apr 13, 2024 22:37:49","6.9","85","6.5","4.6","0.15"
"Apr 13, 2024 22:38:49","6.8","86","6.6","4.6","0.14"
"Apr 13, 2024 22:39:49","6.8","86","6.6","4.6","0.14"
"Apr 13, 2024 22:40:49","6.8","86","6.6","4.6","0.14"
"Apr 13, 2024 22:41:49","6.8","86","6.6","4.6","0.14"
"Apr 13, 2024 22:42:49","6.7","86","6.5","4.5","0.14"
"Apr 13, 2024 22:43:49","6.7","86","6.5","4.5","0.14"
"Apr 13, 2024 22:44:49","6.7","86","6.5","4.5","0.14"
"Apr 13, 2024 22:45:49","6.6","86","6.5","4.4","0.14"
"Apr 13, 2024 22:46:49","6.6","86","6.5","4.4","0.14"
"Apr 13, 2024 22:47:49","6.6","87","6.6","4.6","0.13"
"Apr 13, 2024 22:48:49","6.5","87","6.5","4.5","0.13"
"Apr 13, 2024 22:49:49","6.4","87","6.5","4.4","0.12"
"Apr 13, 2024 22:50:49","6.4","87","6.5","4.4","0.12"
"Apr 13, 2024 22:51:49","6.4","87","6.5","4.4","0.12"
"Apr 13, 2024 22:52:49","6.4","87","6.5","4.4","0.12"
"Apr 13, 2024 22:53:49","6.3","87","6.4","4.3","0.12"
"Apr 13, 2024 22:54:49","6.3","87","6.4","4.3","0.12"
"Apr 13, 2024 22:55:49","6.4","88","6.6","4.6","0.12"
"Apr 13, 2024 22:56:49","6.4","88","6.6","4.6","0.12"
"Apr 13, 2024 22:57:49","6.4","88","6.6","4.6","0.12"
"Apr 13, 2024 22:58:49","6.4","88","6.6","4.6","0.12"
"Apr 13, 2024 22:59:49","6.4","88","6.6","4.6","0.12"
"Apr 13, 2024 23:00:49","6.3","88","6.5","4.5","0.11"
"Apr 13, 2024 23:01:49","6.3","89","6.6","4.6","0.11"
"Apr 13, 2024 23:02:49","6.3","89","6.6","4.6","0.11"
"Apr 13, 2024 23:03:49","6.3","89","6.6","4.6","0.11"
"Apr 13, 2024 23:04:49","6.3","89","6.6","4.6","0.11"
"Apr 13, 2024 23:05:49","6.2","89","6.5","4.5","0.10"
"Apr 13, 2024 23:06:49","6.2","89","6.5","4.5","0.10"
"Apr 13, 2024 23:07:49","6.2","89","6.5","4.5","0.10"
"Apr 13, 2024 23:08:49","6.2","89","6.5","4.5","0.10"
"Apr 13, 2024 23:09:49","6.1","89","6.5","4.4","0.10"
"Apr 13, 2024 23:10:49","6.1","89","6.5","4.4","0.10"
"Apr 13, 2024 23:11:49","6.1","90","6.6","4.6","0.09"
"Apr 13, 2024 23:12:49","6.1","90","6.6","4.6","0.09"
"Apr 13, 2024 23:13:49","6.1","90","6.6","4.6","0.09"
"Apr 13, 2024 23:14:49","6.2","90","6.6","4.7","0.09"
"Apr 13, 2024 23:15:49","6.2","90","6.6","4.7","0.09"
"Apr 13, 2024 23:16:49","6.2","89","6.5","4.5","0.10"
"Apr 13, 2024 23:17:49","6.3","89","6.6","4.6","0.11"
"Apr 13, 2024 23:18:49","6.2","89","6.5","4.5","0.10"
"Apr 13, 2024 23:19:49","6.2","89","6.5","4.5","0.10"
"Apr 13, 2024 23:20:49","6.2","89","6.5","4.5","0.10"
"Apr 13, 2024 23:21:49","6.2","89","6.5","4.5","0.10"
"Apr 13, 2024 23:22:49","6.2","89","6.5","4.5","0.10"
"Apr 13, 2024 23:23:49","6.1","89","6.5","4.4","0.10"
"Apr 13, 2024 23:24:49","6.1","89","6.5","4.4","0.10"
"Apr 13, 2024 23:25:49","6.1","89","6.5","4.4","0.10"
"Apr 13, 2024 23:26:49","6.0","89","6.5","4.3","0.10"
"Apr 13, 2024 23:27:49","6.0","89","6.5","4.3","0.10"
"Apr 13, 2024 23:28:49","6.0","89","6.5","4.3","0.10"
"Apr 13, 2024 23:29:49","6.0","89","6.5","4.3","0.10"
"Apr 13, 2024 23:30:49","6.0","89","6.5","4.3","0.10"
"Apr 13, 2024 23:31:49","6.0","89","6.5","4.3","0.10"
"Apr 13, 2024 23:32:49","5.9","89","6.4","4.2","0.10"
"Apr 13, 2024 23:33:49","6.1","89","6.5","4.4","0.10"
"Apr 13, 2024 23:34:49","6.1","89","6.5","4.4","0.10"
"Apr 13, 2024 23:35:49","6.1","89","6.5","4.4","0.10"
"Apr 13, 2024 23:36:49","6.2","89","6.5","4.5","0.10"
"Apr 13, 2024 23:37:49","6.2","88","6.5","4.4","0.11"
"Apr 13, 2024 23:38:49","6.2","88","6.5","4.4","0.11"
"Apr 13, 2024 23:39:49","6.2","88","6.5","4.4","0.11"
"Apr 13, 2024 23:40:49","6.1","88","6.4","4.3","0.11"
"Apr 13, 2024 23:41:49","5.9","88","6.3","4.1","0.11"
"Apr 13, 2024 23:42:49","5.9","88","6.3","4.1","0.11"
"Apr 13, 2024 23:43:49","5.8","88","6.3","4.0","0.11"
"Apr 13, 2024 23:44:49","5.7","89","6.3","4.0","0.10"
